device,cfg,layer_type,prec,img,bs,keep_ratio,L_patch,L_eff,ms,peak_mem_mb,status,depth,embed_dim,num_heads,mlp_ratio,complexity_ratio,head_dim,tp_world_size
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,1,1.000000,100,101,0.206947,6.024,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,1,1.000000,100,101,0.155091,52.514,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,1,1.000000,100,101,0.187755,116.416,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,8,1.000000,100,101,0.392795,94.005,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,8,1.000000,100,101,0.376940,114.934,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,8,1.000000,100,101,0.604749,131.827,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,16,1.000000,100,101,0.417948,97.052,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,16,1.000000,100,101,0.666261,126.270,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,16,1.000000,100,101,0.972748,149.881,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,24,1.000000,100,101,0.514150,100.177,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,24,1.000000,100,101,0.824809,139.145,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,24,1.000000,100,101,1.553059,167.854,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,32,1.000000,100,101,0.659943,103.302,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,32,1.000000,100,101,1.089215,150.105,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,32,1.000000,100,101,1.889229,185.827,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,48,1.000000,100,101,0.963688,109.708,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,48,1.000000,100,101,1.507163,174.770,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,48,1.000000,100,101,2.660036,221.811,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,64,1.000000,100,101,1.187563,116.802,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,64,1.000000,100,101,1.973271,199.059,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,64,1.000000,100,101,3.485799,257.936,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,1,1.000000,121,122,0.161052,14.231,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,1,1.000000,121,122,0.149727,52.196,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,1,1.000000,121,122,0.152826,117.032,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,8,1.000000,121,122,0.295401,95.041,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,8,1.000000,121,122,0.377417,116.730,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,8,1.000000,121,122,0.553131,136.319,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,16,1.000000,121,122,0.449777,98.365,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,16,1.000000,121,122,0.662923,131.027,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,16,1.000000,121,122,1.134396,158.702,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,24,1.000000,121,122,0.635743,102.146,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,24,1.000000,121,122,0.905871,146.230,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,24,1.000000,121,122,1.617074,178.272,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,32,1.000000,121,122,0.767827,105.927,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,32,1.000000,121,122,1.183510,159.621,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,32,1.000000,121,122,2.400041,199.717,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,48,1.000000,121,122,1.046658,113.490,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,48,1.000000,121,122,1.842022,188.215,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,48,1.000000,121,122,3.292918,244.233,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,64,1.000000,121,122,1.348853,121.052,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,64,1.000000,121,122,2.398849,220.434,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,64,1.000000,121,122,4.282594,286.436,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,1,1.000000,144,145,0.157595,14.321,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,192,1,1.000000,144,145,0.137568,52.721,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,192,1,1.000000,144,145,0.168204,117.519,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,8,1.000000,144,145,0.289202,95.490,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,192,8,1.000000,144,145,0.450611,119.426,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,192,8,1.000000,144,145,0.747919,140.768,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,16,1.000000,144,145,0.443459,99.802,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,192,16,1.000000,144,145,0.816584,137.090,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,192,16,1.000000,144,145,1.413941,164.913,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,24,1.000000,144,145,0.600457,104.302,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,192,24,1.000000,144,145,1.232982,154.301,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,192,24,1.000000,144,145,2.053499,190.432,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,32,1.000000,144,145,0.874639,109.552,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,192,32,1.000000,144,145,1.474023,172.434,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,192,32,1.000000,144,145,2.506495,217.936,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,48,1.000000,144,145,1.181722,117.802,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,192,48,1.000000,144,145,2.347350,204.387,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,192,48,1.000000,144,145,4.001021,266.928,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,64,1.000000,144,145,1.556158,127.302,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,192,64,1.000000,144,145,3.035069,238.402,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,192,64,1.000000,144,145,4.959822,317.842,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,208,1,1.000000,169,170,0.161648,14.418,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,208,1,1.000000,169,170,0.138998,52.904,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,208,1,1.000000,169,170,0.169754,117.886,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,208,8,1.000000,169,170,0.311017,96.083,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,208,8,1.000000,169,170,0.524402,122.629,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,208,8,1.000000,169,170,0.857592,145.256,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,208,16,1.000000,169,170,0.599265,101.365,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,208,16,1.000000,169,170,0.926852,143.934,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,208,16,1.000000,169,170,1.536250,173.702,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,208,24,1.000000,169,170,0.767469,106.646,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,208,24,1.000000,169,170,1.321435,163.895,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,208,24,1.000000,169,170,2.422333,203.897,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,208,32,1.000000,169,170,1.040816,112.724,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,208,32,1.000000,169,170,1.787901,184.434,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,208,32,1.000000,169,170,3.024936,235.936,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,208,48,1.000000,169,170,1.507282,122.685,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,208,48,1.000000,169,170,2.706766,222.434,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,208,48,1.000000,169,170,4.352331,293.936,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,208,64,1.000000,169,170,1.942873,133.052,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,208,64,1.000000,169,170,3.495336,262.121,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,208,64,1.000000,169,170,5.871177,352.999,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,224,1,1.000000,196,197,0.160217,14.524,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,224,1,1.000000,196,197,0.132680,53.727,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,224,1,1.000000,196,197,0.223994,118.265,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,224,8,1.000000,196,197,0.310659,96.928,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,224,8,1.000000,196,197,0.542164,126.754,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,224,8,1.000000,196,197,0.859857,149.784,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,224,16,1.000000,196,197,0.590205,103.053,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,224,16,1.000000,196,197,1.095533,149.520,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,224,16,1.000000,196,197,1.719117,183.194,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,224,24,1.000000,196,197,0.909209,109.693,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,224,24,1.000000,196,197,1.543522,173.062,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,224,24,1.000000,196,197,2.567530,218.280,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,224,32,1.000000,196,197,1.172185,115.990,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,224,32,1.000000,196,197,2.147198,196.605,ok,32,1280,16,4.0,1.0,80,4
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,224,32,1.000000,196,197,3.437519,253.936,ok,32,1280,16,4.0,1.0,80,4
