device,cfg,layer_type,prec,img,bs,keep_ratio,L_patch,L_eff,ms,peak_mem_mb,status,depth,embed_dim,num_heads,mlp_ratio,complexity_ratio,head_dim,tp_world_size
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,1,1.000000,100,101,0.116587,6.024,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,1,1.000000,100,101,0.136852,52.514,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,1,1.000000,100,101,0.131369,117.155,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,8,1.000000,100,101,0.153422,95.005,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,8,1.000000,100,101,0.307918,114.934,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,8,1.000000,100,101,0.553131,132.827,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,16,1.000000,100,101,0.255466,98.052,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,16,1.000000,100,101,0.501633,126.270,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,16,1.000000,100,101,0.848651,150.881,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,24,1.000000,100,101,0.365973,101.177,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,24,1.000000,100,101,0.671864,139.145,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,24,1.000000,100,101,1.239061,168.854,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,32,1.000000,100,101,0.468850,104.302,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,32,1.000000,100,101,0.792980,150.105,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,32,1.000000,100,101,1.409769,186.827,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,48,1.000000,100,101,0.554442,110.708,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,48,1.000000,100,101,1.175880,174.770,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,48,1.000000,100,101,2.031446,222.811,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,64,1.000000,100,101,0.758886,117.802,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,64,1.000000,100,101,1.632452,199.059,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,64,1.000000,100,101,2.918959,258.936,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,1,1.000000,121,122,0.106335,15.231,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,1,1.000000,121,122,0.135660,52.196,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,1,1.000000,121,122,0.123978,117.984,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,8,1.000000,121,122,0.140429,96.041,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,8,1.000000,121,122,0.310779,116.730,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,8,1.000000,121,122,0.421286,137.319,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,16,1.000000,121,122,0.235796,99.365,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,16,1.000000,121,122,0.474095,131.027,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,16,1.000000,121,122,0.891447,159.702,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,24,1.000000,121,122,0.343800,103.146,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,24,1.000000,121,122,0.767589,146.230,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,24,1.000000,121,122,1.223445,179.272,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,32,1.000000,121,122,0.452995,106.927,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,32,1.000000,121,122,0.893354,159.621,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,32,1.000000,121,122,1.715541,200.717,ok,32,1280,16,4.0,1.0,80,4
