device,cfg,layer_type,prec,img,bs,keep_ratio,L_patch,L_eff,avg_power_w,energy_mj,ms_event,status,depth,embed_dim,num_heads,mlp_ratio,complexity_ratio,head_dim,tp_world_size,runs,warmup
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,1,1.000000,100,101,65.393500,34.286492,0.524310,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,1,1.000000,100,101,65.501500,92.243509,1.408266,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,1,1.000000,100,101,65.537500,33.154216,0.505882,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,8,1.000000,100,101,65.644000,38.672193,0.589120,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,8,1.000000,100,101,66.036000,92.354040,1.398541,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,8,1.000000,100,101,66.241500,57.182206,0.863238,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,16,1.000000,100,101,65.872500,43.278760,0.657008,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,16,1.000000,100,101,66.418500,89.607165,1.349130,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,16,1.000000,100,101,66.742000,90.867577,1.361475,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,24,1.000000,100,101,66.056500,57.138979,0.865002,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,24,1.000000,100,101,67.013000,133.742509,1.995770,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,24,1.000000,100,101,68.235000,134.353733,1.968986,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,32,1.000000,100,101,66.998500,63.529800,0.948227,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,32,1.000000,100,101,68.434000,152.741840,2.231958,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,32,1.000000,100,101,67.985500,169.686803,2.495926,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,48,1.000000,100,101,66.975000,96.163027,1.435805,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,48,1.000000,100,101,69.826500,220.253787,3.154301,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,48,1.000000,100,101,70.471000,246.353086,3.495808,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,64,1.000000,100,101,68.574500,126.317520,1.842048,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,64,1.000000,100,101,70.083000,291.168740,4.154627,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,64,1.000000,100,101,70.995000,318.611698,4.487805,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,1,1.000000,121,122,66.156000,36.044965,0.544848,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,1,1.000000,121,122,65.344000,86.898319,1.329859,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,1,1.000000,121,122,65.467500,44.999951,0.687363,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,8,1.000000,121,122,65.754000,41.634802,0.633190,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,8,1.000000,121,122,66.476500,81.945848,1.232704,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,8,1.000000,121,122,66.553500,67.436692,1.013270,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,16,1.000000,121,122,66.249500,55.598277,0.839226,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,16,1.000000,121,122,66.637000,108.089905,1.622070,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,16,1.000000,121,122,67.266500,109.326466,1.625274,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,24,1.000000,121,122,66.530000,67.156127,1.009411,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,24,1.000000,121,122,67.139500,143.151513,2.132150,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,24,1.000000,121,122,68.653500,148.767190,2.166928,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,32,1.000000,121,122,66.722000,80.225679,1.202387,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,32,1.000000,121,122,67.759000,175.800021,2.594490,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,32,1.000000,121,122,69.015000,222.201577,3.219613,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,48,1.000000,121,122,67.211000,108.882466,1.620010,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,48,1.000000,121,122,70.923000,260.304884,3.670246,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,48,1.000000,121,122,71.391000,302.311074,4.234582,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,64,1.000000,121,122,69.137000,135.386619,1.958237,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,64,1.000000,121,122,71.860000,329.943637,4.591478,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,64,1.000000,121,122,72.213500,391.464188,5.420928,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,1,1.000000,144,145,65.865000,34.675341,0.526461,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,192,1,1.000000,144,145,65.593500,83.438710,1.272058,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,192,1,1.000000,144,145,65.631500,47.054531,0.716950,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,8,1.000000,144,145,65.741500,44.588305,0.678237,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX2080Ti,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,192,8,1.000000,144,145,66.482000,109.906765,1.653181,ok,32,1280,16,4.000000,1.000000,80,4,10,5
