device,cfg,layer_type,prec,img,bs,keep_ratio,L_patch,L_eff,avg_power_w,energy_mj,ms_event,status,depth,embed_dim,num_heads,mlp_ratio,complexity_ratio,head_dim,tp_world_size,runs,warmup
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,1,1.000000,100,101,45.682500,22.790671,0.498893,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,1,1.000000,100,101,63.634000,97.722684,1.535699,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,1,1.000000,100,101,63.594500,43.044421,0.676858,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,8,1.000000,100,101,63.486500,37.809715,0.595555,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,8,1.000000,100,101,63.804000,97.355309,1.525850,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,8,1.000000,100,101,64.021500,43.556746,0.680346,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,16,1.000000,100,101,64.385500,40.118657,0.623101,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,16,1.000000,100,101,64.747500,88.910438,1.373187,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,16,1.000000,100,101,64.931500,48.305089,0.743939,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,24,1.000000,100,101,65.040000,34.992769,0.538019,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,24,1.000000,100,101,65.246500,82.039175,1.257373,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,24,1.000000,100,101,66.111000,54.104608,0.818390,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,32,1.000000,100,101,65.920000,41.723036,0.632934,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,32,1.000000,100,101,65.605500,87.629633,1.335706,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,32,1.000000,100,101,66.547500,61.398321,0.922624,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,48,1.000000,100,101,66.668500,41.343430,0.620134,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,48,1.000000,100,101,66.832500,92.019690,1.376870,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,48,1.000000,100,101,68.626500,85.734154,1.249286,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,64,1.000000,100,101,67.992000,42.428531,0.624022,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,64,1.000000,100,101,67.971000,112.943440,1.661642,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,64,1.000000,100,101,68.644500,106.266080,1.548064,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,1,1.000000,121,122,66.302000,34.089200,0.514150,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,1,1.000000,121,122,64.032000,82.715000,1.291776,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,1,1.000000,121,122,63.950500,46.959722,0.734314,ok,32,1280,16,4.000000,1.000000,80,4,10,5
