device,cfg,layer_type,prec,img,bs,keep_ratio,L_patch,L_eff,avg_power_w,energy_mj,ms_event,status,depth,embed_dim,num_heads,mlp_ratio,complexity_ratio,head_dim,tp_world_size,runs,warmup
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,1,1.000000,100,101,119.220500,34.781866,0.291744,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,1,1.000000,100,101,119.614500,73.429906,0.613888,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,1,1.000000,100,101,119.874500,60.626960,0.505754,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,8,1.000000,100,101,119.969500,51.964645,0.433149,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,8,1.000000,100,101,120.572500,107.341549,0.890266,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,8,1.000000,100,101,121.120000,101.242368,0.835885,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,16,1.000000,100,101,120.889500,60.323279,0.498995,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,16,1.000000,100,101,121.077000,114.547366,0.946070,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,16,1.000000,100,101,122.372500,143.503980,1.172682,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,24,1.000000,100,101,121.967000,81.855663,0.671130,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,24,1.000000,100,101,121.754000,171.604180,1.409434,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,24,1.000000,100,101,123.336500,179.240103,1.453261,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,32,1.000000,100,101,123.424000,83.351682,0.675328,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,32,1.000000,100,101,124.219000,189.299023,1.523914,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,32,1.000000,100,101,125.208000,212.436106,1.696666,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,48,1.000000,100,101,124.808000,110.435710,0.884845,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,160,48,1.000000,100,101,125.230500,250.303909,1.998746,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,160,48,1.000000,100,101,128.551000,298.471565,2.321814,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,160,64,1.000000,100,101,129.247500,123.309973,0.954061,ok,32,1280,16,4.000000,1.000000,80,4,10,5
